epoch,revenue,broker_num,mer,fund,Rank
1,160.200000,0,0.200000,300000,13
2,160.950000,0,0.050000,300000,2
3,1365.600000,9,0.050000,3000000,4
4,1294.850000,9,0.050000,3000000,4
5,1244.100000,9,0.050000,3000000,4
6,1337.200000,10,0.050000,3300000,3
7,1179.150000,9,0.050000,3000000,4
8,1157.650000,9,0.050000,3000000,4
9,1136.100000,9,0.050000,3000000,4
10,1239.800000,10,0.050000,3300000,3
11,1620.500000,9,0.050000,3000000,4
12,2055.650000,16,0.050000,5100000,1
13,1428.900000,12,0.137704,3900000,1
14,703.300000,6,0.222167,2100000,7
15,708.200000,6,0.053055,2100000,7
16,699.550000,6,0.050000,2100000,7
17,704.750000,6,0.050000,2100000,7
18,809.100000,7,0.050000,2400000,5
19,1036.850000,9,0.050000,3000000,4
20,1424.100000,12,0.050000,3900000,1
21,1138.200000,10,0.138364,3300000,3
22,907.100000,8,0.050000,2700000,4
23,810.750000,7,0.050000,2400000,5
24,906.650000,8,0.050000,2700000,4
25,1731.750000,10,0.050000,3300000,3
26,1834.300000,15,0.050000,4800000,1
27,1720.650000,10,0.137790,3300000,3
28,2170.250000,14,0.050000,4500000,1
29,2216.400000,14,0.143075,4500000,1
30,2169.950000,14,0.232573,4500000,1
31,2160.900000,14,0.313598,4500000,1
32,1544.200000,13,0.405710,4200000,1
33,273.000000,2,0.491424,900000,11
34,83.200000,0,0.326314,300000,13
35,207.550000,0,0.126314,300000,13
36,1191.100000,6,0.050000,2100000,7
37,1945.800000,16,0.050000,5100000,1
38,1956.300000,12,0.134827,3900000,1
39,1786.800000,15,0.223666,4800000,1
40,761.650000,7,0.309390,2400000,5
41,553.900000,5,0.141314,1800000,8
42,909.250000,4,0.050000,1500000,9
43,1950.050000,12,0.050000,3900000,1
44,1930.450000,16,0.137532,5100000,1
45,992.200000,9,0.221027,3000000,4
46,1209.500000,6,0.050000,2100000,7
47,2081.650000,13,0.050000,4200000,1
48,1758.750000,15,0.139343,4800000,1
49,769.000000,7,0.221823,2400000,5
50,554.300000,5,0.062524,1800000,8
51,887.300000,4,0.050000,1500000,9
52,1239.150000,11,0.050000,3600000,1
53,751.950000,7,0.136710,2400000,5
54,557.950000,5,0.050000,1800000,8
55,550.150000,5,0.050000,1800000,8
56,752.500000,7,0.050000,2400000,5
57,984.300000,9,0.050000,3000000,4
58,1930.900000,12,0.050000,3900000,1
59,2441.650000,16,0.142742,5100000,1
60,2107.500000,17,0.227726,5400000,1
61,1139.500000,10,0.312939,3300000,3
62,565.150000,5,0.138953,1800000,8
63,895.700000,4,0.050000,1500000,9
64,1865.550000,11,0.050000,3600000,1
65,2192.300000,14,0.130233,4500000,1
66,1608.950000,14,0.219943,4500000,1
67,534.700000,5,0.312262,1800000,8
68,440.500000,4,0.149708,1500000,9
69,540.900000,5,0.050000,1800000,8
70,1043.800000,5,0.050000,1800000,8
71,1626.050000,14,0.050000,4500000,1
72,1732.700000,10,0.141746,3300000,3
73,2210.750000,14,0.050000,4500000,1
74,1920.800000,16,0.138017,5100000,1
75,959.400000,9,0.223228,3000000,4
76,1198.050000,6,0.062388,2100000,7
77,2057.850000,13,0.050000,4200000,1
78,2265.450000,15,0.130777,4800000,1
79,2408.300000,16,0.215408,5100000,1
80,1747.350000,15,0.306608,4800000,1
81,1176.150000,6,0.398119,2100000,7
82,1087.500000,10,0.225164,3300000,3
83,660.450000,6,0.058046,2100000,7
84,891.500000,4,0.050000,1500000,9
85,1215.800000,11,0.050000,3600000,1
86,532.300000,5,0.139487,1800000,8
87,203.700000,0,0.050000,300000,2
88,207.950000,0,0.050000,300000,2
89,208.600000,0,0.050000,300000,2
90,73.750000,0,0.050000,300000,2
91,77.400000,0,0.050000,300000,2
92,77.400000,0,0.050000,300000,2
93,205.800000,0,0.050000,300000,2
94,77.400000,0,0.050000,300000,2
95,77.400000,0,0.050000,300000,2
96,77.400000,0,0.050000,300000,2
97,78.650000,0,0.050000,300000,2
98,74.550000,0,0.050000,300000,2
99,205.600000,0,0.050000,300000,2
100,209.150000,0,0.050000,300000,2
101,82.350000,0,0.050000,300000,2
102,74.550000,0,0.050000,300000,2
103,206.600000,0,0.050000,300000,2
104,205.250000,0,0.050000,300000,2
105,79.350000,0,0.050000,300000,2
106,207.950000,0,0.050000,300000,2
107,82.500000,0,0.050000,300000,2
108,71.100000,0,0.050000,300000,2
109,71.100000,0,0.050000,300000,2
110,91.000000,0,0.050000,300000,2
111,202.400000,0,0.050000,300000,2
112,91.000000,0,0.050000,300000,2
113,203.250000,0,0.050000,300000,2
114,71.100000,0,0.050000,300000,2
115,209.800000,0,0.050000,300000,2
116,204.650000,0,0.050000,300000,2
117,80.800000,0,0.050000,300000,2
118,204.750000,0,0.050000,300000,2
119,202.950000,0,0.050000,300000,2
120,208.550000,0,0.050000,300000,2
121,78.300000,0,0.050000,300000,2
122,80.800000,0,0.050000,300000,2
123,203.500000,0,0.050000,300000,2
124,78.300000,0,0.050000,300000,2
125,80.800000,0,0.050000,300000,2
126,72.450000,0,0.050000,300000,2
127,80.800000,0,0.050000,300000,2
128,201.250000,0,0.050000,300000,2
129,78.400000,0,0.050000,300000,2
130,79.900000,0,0.050000,300000,2
131,78.550000,0,0.050000,300000,2
132,204.450000,0,0.050000,300000,2
133,69.900000,0,0.050000,300000,2
134,80.000000,0,0.050000,300000,2
135,208.650000,0,0.050000,300000,2
136,69.900000,0,0.050000,300000,2
137,69.900000,0,0.050000,300000,2
138,208.500000,0,0.050000,300000,2
139,69.900000,0,0.050000,300000,2
140,69.900000,0,0.050000,300000,2
141,69.900000,0,0.050000,300000,2
142,70.100000,0,0.050000,300000,2
143,208.450000,0,0.050000,300000,2
144,72.150000,0,0.050000,300000,2
145,91.150000,0,0.050000,300000,2
146,80.550000,0,0.050000,300000,2
147,70.150000,0,0.050000,300000,2
148,71.900000,0,0.050000,300000,2
149,206.700000,0,0.050000,300000,2
150,72.600000,0,0.050000,300000,2
151,81.400000,0,0.050000,300000,2
152,70.700000,0,0.050000,300000,2
153,71.900000,0,0.050000,300000,2
154,204.650000,0,0.050000,300000,2
155,210.800000,0,0.050000,300000,2
156,203.000000,0,0.050000,300000,2
157,206.400000,0,0.050000,300000,2
158,72.600000,0,0.050000,300000,2
159,71.900000,0,0.050000,300000,2
160,79.550000,0,0.050000,300000,2
161,209.050000,0,0.050000,300000,2
162,90.350000,0,0.050000,300000,2
163,207.950000,0,0.050000,300000,2
164,69.350000,0,0.050000,300000,2
165,70.850000,0,0.050000,300000,2
166,206.450000,0,0.050000,300000,2
167,71.100000,0,0.050000,300000,2
168,205.550000,0,0.050000,300000,2
169,70.900000,0,0.050000,300000,2
170,71.100000,0,0.050000,300000,2
171,71.350000,0,0.050000,300000,2
172,80.050000,0,0.050000,300000,2
173,79.800000,0,0.050000,300000,2
174,206.650000,0,0.050000,300000,2
175,205.850000,0,0.050000,300000,2
176,71.100000,0,0.050000,300000,2
177,71.100000,0,0.050000,300000,2
178,206.950000,0,0.050000,300000,2
179,71.100000,0,0.050000,300000,2
180,207.800000,0,0.050000,300000,2
181,199.000000,0,0.050000,300000,2
182,208.700000,0,0.050000,300000,2
183,71.150000,0,0.050000,300000,2
184,71.100000,0,0.050000,300000,2
185,206.450000,0,0.050000,300000,2
186,199.100000,0,0.050000,300000,2
187,69.400000,0,0.050000,300000,2
188,206.900000,0,0.050000,300000,2
189,206.800000,0,0.050000,300000,2
190,208.750000,0,0.050000,300000,2
191,71.100000,0,0.050000,300000,2
192,202.300000,0,0.050000,300000,2
193,71.100000,0,0.050000,300000,2
194,204.800000,0,0.050000,300000,2
195,205.250000,0,0.050000,300000,2
196,71.350000,0,0.050000,300000,2
197,71.150000,0,0.050000,300000,2
198,71.350000,0,0.050000,300000,2
199,71.100000,0,0.050000,300000,2
200,82.800000,0,0.050000,300000,2
201,211.600000,0,0.050000,300000,2
202,208.500000,0,0.050000,300000,2
203,80.050000,0,0.050000,300000,2
204,207.150000,0,0.050000,300000,2
205,90.350000,0,0.050000,300000,2
206,71.100000,0,0.050000,300000,2
207,207.800000,0,0.050000,300000,2
208,200.750000,0,0.050000,300000,2
209,208.100000,0,0.050000,300000,2
210,207.000000,0,0.050000,300000,2
211,71.150000,0,0.050000,300000,2
212,71.100000,0,0.050000,300000,2
213,208.450000,0,0.050000,300000,2
214,71.100000,0,0.050000,300000,2
215,199.900000,0,0.050000,300000,2
216,206.300000,0,0.050000,300000,2
217,71.350000,0,0.050000,300000,2
218,208.900000,0,0.050000,300000,2
219,201.100000,0,0.050000,300000,2
220,69.600000,0,0.050000,300000,2
221,202.850000,0,0.050000,300000,2
222,69.700000,0,0.050000,300000,2
223,70.900000,0,0.050000,300000,2
224,69.150000,0,0.050000,300000,2
225,67.600000,0,0.050000,300000,2
226,206.600000,0,0.050000,300000,2
227,208.600000,0,0.050000,300000,2
228,69.950000,0,0.050000,300000,2
229,70.900000,0,0.050000,300000,2
230,91.000000,0,0.050000,300000,2
231,204.900000,0,0.050000,300000,2
232,206.250000,0,0.050000,300000,2
233,78.600000,0,0.050000,300000,2
234,209.550000,0,0.050000,300000,2
235,206.600000,0,0.050000,300000,2
236,77.900000,0,0.050000,300000,2
237,69.400000,0,0.050000,300000,2
238,204.400000,0,0.050000,300000,2
239,207.950000,0,0.050000,300000,2
240,79.400000,0,0.050000,300000,2
241,78.450000,0,0.050000,300000,2
242,74.700000,0,0.050000,300000,2
243,211.000000,0,0.050000,300000,2
244,204.500000,0,0.050000,300000,2
245,76.400000,0,0.050000,300000,2
246,72.750000,0,0.050000,300000,2
247,77.600000,0,0.050000,300000,2
248,205.550000,0,0.050000,300000,2
249,202.400000,0,0.050000,300000,2
250,72.750000,0,0.050000,300000,2
251,207.950000,0,0.050000,300000,2
252,206.950000,0,0.050000,300000,2
253,76.400000,0,0.050000,300000,2
254,77.850000,0,0.050000,300000,2
255,77.850000,0,0.050000,300000,2
256,211.500000,0,0.050000,300000,2
257,71.050000,0,0.050000,300000,2
258,79.500000,0,0.050000,300000,2
259,204.600000,0,0.050000,300000,2
260,205.850000,0,0.050000,300000,2
261,77.900000,0,0.050000,300000,2
262,71.050000,0,0.050000,300000,2
263,72.750000,0,0.050000,300000,2
264,208.500000,0,0.050000,300000,2
265,72.750000,0,0.050000,300000,2
266,205.000000,0,0.050000,300000,2
267,76.150000,0,0.050000,300000,2
268,207.800000,0,0.050000,300000,2
269,206.000000,0,0.050000,300000,2
270,207.000000,0,0.050000,300000,2
271,76.350000,0,0.050000,300000,2
272,207.950000,0,0.050000,300000,2
273,75.950000,0,0.050000,300000,2
274,69.400000,0,0.050000,300000,2
275,72.750000,0,0.050000,300000,2
276,74.450000,0,0.050000,300000,2
277,77.650000,0,0.050000,300000,2
278,79.350000,0,0.050000,300000,2
279,73.000000,0,0.050000,300000,2
280,76.050000,0,0.050000,300000,2
281,208.550000,0,0.050000,300000,2
282,202.400000,0,0.050000,300000,2
283,206.900000,0,0.050000,300000,2
284,205.150000,0,0.050000,300000,2
285,75.900000,0,0.050000,300000,2
286,79.400000,0,0.050000,300000,2
287,72.750000,0,0.050000,300000,2
288,80.750000,0,0.050000,300000,2
289,211.250000,0,0.050000,300000,2
290,204.550000,0,0.050000,300000,2
291,71.050000,0,0.050000,300000,2
292,207.700000,0,0.050000,300000,2
293,205.650000,0,0.050000,300000,2
294,67.850000,0,0.050000,300000,2
295,73.600000,0,0.050000,300000,2
296,205.500000,0,0.050000,300000,2
297,208.100000,0,0.050000,300000,2
298,207.600000,0,0.050000,300000,2
299,64.900000,0,0.050000,300000,2
300,78.650000,0,0.050000,300000,2
epoch,revenue,broker_num,mer,fund,Rank
1,404.000000,0,0.200000,300000,13
2,2081.200000,6,0.050000,2100000,7
3,3352.700000,9,0.138169,3000000,4
4,4045.000000,12,0.050000,3900000,1
5,3319.000000,12,0.142486,3900000,1
6,1963.600000,7,0.236288,2400000,5
7,1669.100000,6,0.070993,2100000,7
8,1850.800000,7,0.050000,2400000,5
9,2802.900000,8,0.050000,2700000,4
10,4857.100000,16,0.050000,5100000,1
11,4661.100000,15,0.138404,4800000,1
12,3261.200000,13,0.228266,4200000,1
13,2418.800000,6,0.310151,2100000,7
14,3517.100000,10,0.143012,3300000,3
15,4395.400000,14,0.050000,4500000,1
16,4364.300000,14,0.138082,4500000,1
17,4383.700000,14,0.230371,4500000,1
18,4129.200000,13,0.316600,4200000,1
19,973.900000,11,0.404072,1373344,1
